epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.74712,1.58245,3.38634,1.40552,0.5602,0.40295,0.46457,0.31831,1.21626,1.26562,1.08791,1.785e-05,1.785e-05,1.785e-05
2,19.0586,1.57741,3.37627,1.39884,0.54408,0.38866,0.45744,0.31407,1.24164,1.30364,1.10216,2.95858e-05,2.95858e-05,2.95858e-05
3,28.2577,1.54352,2.90536,1.36001,0.54386,0.38436,0.44586,0.30775,1.2589,1.33315,1.11249,3.37817e-05,3.37817e-05,3.37817e-05
4,37.324,1.44636,2.69335,1.34611,0.59319,0.35272,0.43639,0.30272,1.26894,1.34872,1.1214,3.04378e-05,3.04378e-05,3.04378e-05
5,46.4596,1.40041,2.53099,1.30803,0.54885,0.36478,0.43086,0.30091,1.27632,1.36776,1.12756,1.95541e-05,1.95541e-05,1.95541e-05
